driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,samples
WDC WDBNCE2500PNC,SSD,232.9,4102,2329,90.44,45.35,0.39,2017,76
Patriot Pyro SE 240GB SSD,SSD,223.6,4101,2330,,,,2012,14
SanDisk SD7SB6S-256G,SSD,238.5,4101,2331,129.99,31.55,0.55,2015,24
CSSD-S6M512CG3VZ,SSD,476.9,4101,2332,,,,2020,21
TwinMOS Hyper SSD H2 240GB,SSD,223.6,4100,2333,,,,2013,1
SanDisk SD7SN6S512G1122,SSD,476.9,4097,2334,,,,2015,18
CT960BX200SSD1,SSD,894.3,4097,2335,297.77,13.76,0.33,2016,46
LITEONIT LMT-256L9M-11 MSATA 256GB,SSD,238.5,4096,2336,,,,2014,16
LITEONIT LMT-512L9M-11 MSATA 512GB,SSD,476.9,4096,2337,,,,2014,11
SAMSUNG SSD SM871 2.5 7m,SSD,238.5,4096,2338,,,,2015,26
Crucial CT275MX300SSD4,SSD,256.2,4095,2339,99.99,40.95,0.39,2016,96
ADATA SP610,SSD,476.9,4094,2340,,,,2014,24
LuminouT ek 512GB,SSD,476.9,4094,2341,,,,2019,1
Micron M600 MTFDDAY256MBF,SSD,238.5,4092,2342,297.77,13.74,1.25,2015,9
SAMSUNG SSD SM841 SED mSATA 256GB,SSD,238.5,4091,2343,,,,2014,8
HFS500G32TND-3112A,SSD,465.8,4090,2344,,,,2016,6
PNY EP7011 240GB,SSD,223.6,4085,2345,,,,2019,1
FSA-256GB,SSD,238.5,4082,2346,,,,2018,1
SanDisk SD8SB8U-128G-1016,SSD,119.2,4082,2347,,,,2018,5
SSDPR-CX400-512-G2,SSD,476.9,4081,2348,,,,2020,40
FSA-256G FSA-256GB,SSD,238.5,4081,2349,,,,2016,1
LITEON CV3-8D256-11 256GB,SSD,238.5,4081,2350,,,,2016,24
minisforum,SSD,119.2,4080,2351,,,,2020,11
Samsung SSD 850 PRO 128GB,SSD,119.2,4080,2352,179.75,22.7,1.51,2014,106
TOSHIBA Q300 Pro,SSD,119.2,4078,2353,,,,2016,7
SanDisk SD8SB8U256G1122,SSD,238.5,4077,2354,,,,2016,21
Samsung SSD PM881 NVMe 128GB,SSD,119.2,4076,2355,,,,2020,23
SAMSUNG SSD SM841N 2.5 7mm 512GB,SSD,476.9,4076,2356,245,16.64,0.51,2014,5
TRO-SSD7-120GB-PRO,SSD,111.8,4075,2357,,,,2015,3
Mushkin Chronos Deluxe 240GB MKNSSDCR240GB-DX,SSD,223.6,4075,2358,174.98,23.29,0.78,2011,8
CT120BX300SSD1,SSD,111.8,4074,2359,78.99,51.57,0.71,2017,64
TEAM T253X6001T,SSD,953.9,4073,2360,,,,2021,16
Intel SSD Pro 1500 240GB M.2,SSD,223.6,4072,2361,,,,2014,5
TOSHIBA THNSNJ128G8NY,SSD,238.5,4072,2362,,,,2017,9
SAMSUNG MZNTY256HDHP-000B1,SSD,238.5,4071,2363,,,,2017,6
ADATA XM11 256GB-V2,SSD,238.5,4069,2364,,,,2013,25
Angelbird Crest XTC 240GB,SSD,223.6,4068,2365,,,,2017,1
SPCC Sol id State,SSD,447.1,4067,2366,,,,2016,8
MTFDDAK256MBF-1AN15ABHA,SSD,238.5,4067,2367,,,,2015,21
OCZ Vector 150,SSD,111.8,4067,2368,800.6,5.08,7.16,2013,8
Micron M500 480GB MTFDDAK480MAV,SSD,447.1,4065,2369,,,,2013,12
Mushkin Reactor 480GB MKNSSDRE480GB,SSD,447.1,4065,2370,109.99,36.96,0.25,2017,4
SK hynix SC300B 256GB,SSD,238.5,4064,2371,,,,2017,9
SDLF1CRR-019T-1H23,SSD,1700,4064,2372,,,,2017,6
Samsung SSD 860 EVO mSATA 250GB,SSD,232.9,4061,2373,116.9,34.74,0.5,2018,24
SanDisk SD7SB6S256G1122,SSD,238.5,4061,2374,,,,2015,8
INTEL SSDSC2BW240A,SSD,223.6,4060,2375,189,21.48,0.85,2014,11
ADATA Premier Pro SP900 512GB,SSD,476.9,4059,2376,,,,2014,7
Seagate ST1000DM010,SSD,223.6,4059,2377,,,,2017,5
SSDPR-CX400-128-G2,SSD,119.2,4058,2378,,,,2020,12
TOSHIBA Q300 Pro,SSD,238.5,4058,2379,,,,2015,14
BRAVEEAGLE SSD 240GB,SSD,223.6,4056,2380,,,,2020,1
TOSHIBA THNSNF128GMCS,SSD,119.2,4056,2381,,,,2013,18
LITEON LCH-512V2S-11 2.5 7mm 512GB,SSD,476.9,4055,2382,,,,2015,9
LITEONIT LCS-256M6S 2.5 7mm 256GB,SSD,238.5,4055,2383,,,,2013,68
Transcend TS256GSSD230S,SSD,238.5,4055,2384,,,,2017,39
SanDisk SDSSDHII240G,SSD,223.6,4054,2385,,,,2014,149
SanDisk SDSSDXPS480G,SSD,447.1,4054,2386,,,,2014,46
LITEONIT LCS-256L9S-11 22,SSD,238.5,4052,2387,,,,2014,42
Samsung SSD 850 EVO 250GB,SSD,232.9,4050,2388,179,22.63,0.77,2014,3943
Apacer AS350 256GB,SSD,223.6,4050,2389,,,,2019,2
SanDisk SD8SN8U512G1122,SSD,476.9,4050,2390,,,,2016,11
MK0800GCTZB,SSD,745.2,4049,2391,376.45,10.75,0.51,2016,7
Apacer AS610S 240GB,SSD,223.6,4048,2392,,,,2015,1
KingFast,SSD,238.5,4047,2393,,,,2014,125
EMTEC X150 480GB,SSD,447.1,4046,2394,,,,2019,30
ADATA Permier SP550 960GB,SSD,894.3,4046,2395,,,,2016,4
SK hynix SH920 2.5 7MM 256GB,SSD,238.5,4046,2396,,,,2013,28
LITEON CV1-8B256-HP,SSD,238.5,4045,2397,,,,2016,15
FSX-120GB,SSD,111.8,4045,2398,,,,2016,2
OCZ-VECT OR180,SSD,223.6,4045,2399,,,,2015,11
KINGSTON KINGSTON SH103S3,SSD,223.6,4043,2400,129.26,31.28,0.58,2013,71
MTFDDAK256MBF-1AN1ZABHA,SSD,238.5,4041,2401,,,,2015,40
SanDisk SDSSDHII480G,SSD,447.1,4041,2402,,,,2014,80
Micron M600 MTFDDAK1T0MBF,SSD,953.9,4041,2403,89.99,44.9,0.09,2016,6
Crucial CT750MX300SSD1,SSD,698.6,4040,2404,274.95,14.7,0.39,2016,73
JingHai 480GB,SSD,447.1,4040,2405,,,,2019,1
SSD2SC240G3LC726B104-327,SSD,223.6,4039,2406,,,,2014,8
LITEON CV3-SD256,SSD,238.5,4039,2407,,,,2016,9
SanDisk X300 2.5 7MM 256GB,SSD,238.5,4038,2408,,,,2015,13
Plextor M3 Pro 128GB PX-128M3P,SSD,119.2,4038,2409,,,,2012,5
Samsung SSD 850,SSD,238.5,4037,2410,,,,2014,35
SAMSUNG MZ7LN256HAJQ-000L7,SSD,238.5,4036,2411,,,,2018,32
SAMSUNG SSD PM871 mSATA 512GB SED,SSD,476.9,4036,2412,,,,2016,5
Intel SSD 535 180GB M.2,SSD,167.7,4035,2413,200,20.18,1.19,2015,6
Patriot Burst,SSD,894.3,4035,2414,,,,2018,41
DGM SSD 480GB S3-480A,SSD,447.1,4033,2415,,,,2016,11
SAMSUNG MZ7LN256HMJP-000L2,SSD,238.5,4033,2416,,,,2017,8
TOSHIBA THNSFJ256GMCT,SSD,238.5,4032,2417,,,,2014,17
ADATA SU750,SSD,476.9,4032,2418,57.71,69.86,0.12,2019,62
OCZ-VERT EX3,SSD,238.5,4031,2419,,,,2013,6
KINGSTON SM2280S3G2480G,SSD,447.1,4031,2420,,,,2016,41
DRVEO X1 SSD,SSD,447.1,4030,2421,,,,2016,9
Samsung SSD 750 EVO 500GB,SSD,465.8,4028,2422,199.99,20.14,0.43,2016,134
SSD2SC240G1CS2754D117-502,SSD,223.6,4028,2423,,,,2016,7
PNY CS1311 960GB SSD,SSD,894.3,4027,2424,282.61,14.25,0.32,2016,11
OCZ-TRIO N150,SSD,111.8,4027,2425,,,,2016,13
Samsung SSD 840,SSD,698.6,4027,2426,,,,2014,11
Crucial CT525MX300SSD1,SSD,489,4027,2427,329.98,12.2,0.67,2016,429
LITEONIT LCS-512M6S 2.5 7mm 512GB,SSD,476.9,4027,2428,,,,2013,16
SSD2SC240G5SA754D117-511,SSD,223.6,4026,2429,,,,2014,6
Seagate BarraCuda Q1 SSD ZA960CV10001,SSD,894.3,4026,2430,,,,2020,16
SanDisk SD6SP1M256G1012,SSD,238.5,4025,2431,,,,2014,8
LITEON CV8-CE256-11 256GB,SSD,238.5,4025,2432,,,,2019,9
KINGSTON SHSS37A480G,SSD,447.1,4023,2433,,,,2015,66
DREVO D1 SSD,SSD,223.6,4022,2434,,,,2018,17
Patriot Mac Series XT 240GB,SSD,223.6,4019,2435,56.27,71.42,0.25,2013,14
TEAM M4PS5 SSD 256GB,SSD,238.5,4018,2436,,,,2018,1
MTFDDAV256TBN,SSD,238.5,4017,2437,121.25,33.13,0.51,2016,6
SAMSUNG MZNTY128HDHP-000,SSD,119.2,4017,2438,,,,2016,17
Micron M550 SSD 256GB,SSD,238.5,4016,2439,,,,2014,71
Micron 1100 MTFDDAV256TBN,SSD,238.5,4016,2440,,,,2016,344
LITEON CV3-8D512,SSD,476.9,4016,2441,,,,2016,16
SHGS31-500GS-2,SSD,465.8,4016,2442,,,,2019,139
PLEXTOR PX-256M5S,SSD,238.5,4016,2443,193.45,20.76,0.81,2013,31
SAMSUNG MZ7LN256HMJP-00000,SSD,238.5,4015,2444,,,,2016,15
SanDisk SD7SN6S128G1122,SSD,119.2,4014,2445,,,,2016,7
OCZ REVODRIVE3,SSD,223.6,4014,2446,,,,2014,88
"SAMSUNG SSD SM841 2.5"" 7mm 256GB",SSD,238.5,4012,2447,,,,2013,27
WDC WDS 100T2B0A,SSD,931.5,4012,2448,,,,2019,11
Crucial CT256M550SSD4,SSD,238.5,4012,2449,167.77,23.91,0.7,2014,25
T-FORCE 250GB,SSD,238.5,4011,2450,108.19,37.08,0.45,2018,16
LITEON IT LMT-256L9M,SSD,238.5,4011,2451,,,,2015,32
SanDisk SD7SN6S256G1122,SSD,238.5,4011,2452,,,,2015,9
TOSHIBA THNSNH512GDNT,SSD,476.9,4009,2453,,,,2014,9
SAMSUNG SSD SM841 mSATA,SSD,476.9,4008,2454,,,,2013,7
LITEONIT LMT-256M6M-41 mm,SSD,238.5,4007,2455,,,,2014,5
SSD PLUS 480GB,SSD,447.1,4007,2456,76.65,52.27,0.17,2016,31
KingDian N480 120GB,SSD,111.8,4005,2457,,,,2018,8
SAMSUNG MZNLN256HMHQ-00000,SSD,238.5,4004,2458,83.32,48.06,0.35,2016,51
SK hynix SC300 M.2,SSD,238.5,4004,2459,,,,2016,14
RevuAhn 900G 256GB,SSD,238.5,4004,2460,,,,2018,7
SAMSUNG MZ7PD256HCGM-000H7,SSD,238.5,4003,2461,,,,2014,67
SanDisk Ultra II 960GB,SSD,894.3,4003,2462,463.2,8.64,0.52,2015,68
DGM SSD 240GB S3-240A,SSD,223.6,4003,2463,,,,2017,1
SanDisk X400,SSD,119.2,4002,2464,164.09,24.39,1.38,2017,7
Acer SSD SA100 240GB,SSD,223.6,4002,2465,,,,2021,5
SanDisk SD7SN3Q512G1002,SSD,476.9,4001,2466,,,,2016,6
Intel SSD Pro 5400s 240GB M.2,SSD,223.6,3999,2467,,,,2017,2
ADATA SU750,SSD,953.9,3999,2468,,,,2019,18
LITEON CV3-8D512-11 512GB,SSD,476.9,3998,2469,,,,2016,17
SAMSUNG MZ7LN256HMJP-000H1,SSD,238.5,3998,2470,,,,2016,67
Kingston HyperX 3K 240GB SH103S3240G,SSD,223.6,3997,2471,194.99,20.5,0.87,2012,165
Intel SSD 535 240GB M.2,SSD,223.6,3997,2472,177.97,22.46,0.8,2016,10
SuperNT S13D,SSD,238.5,3996,2473,,,,2022,13
ADATA SU630,SSD,1700,3996,2474,,,,2021,5
FUHLER C2004 120GB,SSD,111.8,3996,2475,,,,2018,1
MENGMI SSD 240GB,SSD,223.6,3995,2476,,,,2020,5
SanDisk SDSSDH3250G,SSD,232.9,3995,2477,,,,2017,56
WDC WDS500G1R0A,SSD,465.8,3995,2478,79.79,50.06,0.17,2020,13
Drevo X1 pro 1TB,SSD,931.5,3994,2479,,,,2019,6
KINGSTON RBU-SNS8152S3512GG2,SSD,476.9,3992,2480,,,,2016,14
Samsung SSD 870 EVO 500G,SSD,465.8,3992,2481,127.99,31.19,0.27,2021,12
Lexar 256GB SSD,SSD,238.5,3992,2482,38.99,102.38,0.16,2019,183
ORIGIN Inception TLC830 Series 1TB,SSD,953.9,3991,2483,,,,2020,1
SanDisk SDSSDXP480G,SSD,447.1,3991,2484,,,,2013,7
LITEON IT LCS-25,SSD,238.5,3990,2485,,,,2014,10
TOSHIBA THNSNF128GCSS,SSD,119.2,3988,2486,,,,2013,23
PLEXTOR PX-G128M6e,SSD,119.2,3987,2487,159.29,25.03,1.34,2014,128
PLEXTOR PX-256M6G-2280,SSD,238.5,3987,2488,,,,2015,19
SanDisk SDSSDXPS960G,SSD,894.3,3986,2489,,,,2014,18
LITEONIT LMT-256L9M-11 MM,SSD,238.5,3986,2490,,,,2014,22
AVEXIR AVSSDE100ZZ-120GB,SSD,111.8,3985,2491,,,,2018,1
PLEXTOR PX-256M5M,SSD,238.5,3984,2492,476.58,8.36,2,2013,10
Transcend TS512GSSD230S,SSD,476.9,3984,2493,,,,2018,28
OCZ-ARC100,SSD,447.1,3983,2494,,,,2014,16
ADATA SU800 SSD 256GB,SSD,238.5,3982,2495,37.99,104.83,0.16,2016,324
Crucial FCCT250MX200SSD1,SSD,232.9,3979,2496,,,,2017,13
Apacer AS330 240GB,SSD,223.6,3978,2497,,,,2016,9
IPLEX SSD 256GB,SSD,238.5,3976,2498,,,,2019,1
SPCC Solid State,SSD,894.3,3976,2499,,,,2016,19
TOSHIBA THNSNH128GMCT,SSD,119.2,3976,2500,,,,2013,14
TEAML5Lite3D240G,SSD,223.6,3976,2501,,,,2018,37
HFS256G39TNH-73A0A,SSD,238.5,3973,2502,,,,2019,14
KINGSTON SUV400S37240G,SSD,223.6,3971,2503,,,,2016,532
KINGSTON SUV400S37960G,SSD,894.3,3971,2504,,,,2016,14
MTFDDAK512MBF-1A,SSD,476.9,3971,2505,,,,2015,24
Kingchuxing 128GB,SSD,119.2,3970,2506,,,,2020,10
Apacer AST280 480GB,SSD,447.1,3969,2507,,,,2019,9
LITEONIT LCM-256M3S,SSD,238.5,3969,2508,,,,2013,6
AVSSDS3E 100Z-120GB,SSD,111.8,3969,2509,,,,2016,1
TOSHIBA THNSNJ128GMCU,SSD,119.2,3969,2510,283.23,14.01,2.38,2014,25
WDC WDBN CE2500PNC,SSD,232.9,3968,2511,,,,2017,8
SanDisk SD9SN8W128G1001,SSD,119.2,3968,2512,,,,2018,9
DIERYA SSD 1TB,SSD,931.5,3968,2513,,,,2019,1
LITEON CV3-DE512,SSD,476.9,3967,2514,,,,2016,29
SanDisk SD8SB8U5,SSD,476.9,3966,2515,,,,2016,5
SAMSUNG MZ7TY256HDHP-000H1,SSD,238.5,3965,2516,,,,2016,14
MTFDDAK5 12MBF-1AN1ZABHA,SSD,476.9,3965,2517,,,,2016,6
KINGSTON SKC300S37A180G,SSD,167.7,3965,2518,,,,2014,6
EDGE E3 SSD,SSD,476.9,3964,2519,127.87,31,0.27,2016,6
Cruicial CT250BX100SSD1,SSD,232.9,3964,2520,94.99,41.73,0.41,2015,217
LITEON CV3-DE256,SSD,238.5,3963,2521,,,,2016,7
SAMSUNG MZNLN256HMHQ-000H1,SSD,238.5,3962,2522,,,,2016,68
TOSHIBA THNSNS256GMCP,SSD,238.5,3962,2523,,,,2012,61
Q200 EX.,SSD,223.6,3961,2524,,,,2017,6
SAMSUNG SSD SM841 mSATA,SSD,238.5,3961,2525,,,,2013,16
KingDian N480-120GB,SSD,111.8,3961,2526,,,,2017,4
KINGSTON SUV300S37A240G,SSD,223.6,3960,2527,,,,2015,35
OCZ-VECTOR150,SSD,447.1,3959,2528,,,,2014,51
MTFDDAK2 56MBF-1AN15ABHA,SSD,238.5,3959,2529,,,,2015,5
Maxtor Z1 SSD 480GB,SSD,447.1,3959,2530,,,,2019,47
VisionTek 120GB mSATA,SSD,111.8,3958,2531,74.45,53.16,0.67,2013,3
Crucial CT480M500SSD4,SSD,447.1,3958,2532,258.48,15.31,0.58,2014,16
Mushkin Chronos Deluxe 500GB MKNSSDCR500GB-DX,SSD,465.8,3958,2533,,,,2019,1
Mushkin Triactor 3DX 120GB MKNSSDTR120GB-3DX,SSD,111.8,3957,2534,,,,2018,1
TOSHIBA THNSN9240GESG,SSD,223.6,3957,2535,,,,2016,7
SanDisk SD8SB8U-256G-100,SSD,238.5,3956,2536,,,,2017,5
INTEL SSDSCKHW240A4,SSD,223.6,3956,2537,149,26.55,0.67,2014,17
SAMSUNG MZNTY128HDHP-000L2,SSD,119.2,3956,2538,52.29,75.66,0.44,2016,20
HP SSD M 700 240GB,SSD,223.6,3956,2539,,,,2019,1
Samsung SSD 840 EVO 500GB,SSD,465.8,3956,2540,259.75,15.23,0.56,2013,335
LITEONIT LCT-512L9S-11 2.5 7mm 512GB,SSD,476.9,3955,2541,,,,2015,11
SMI DISK,SSD,472,3954,2542,,,,2018,9
PLEXTOR PX-128M6Pro,SSD,119.2,3953,2543,91,43.44,0.76,2014,6
KingFast,SSD,476.9,3953,2544,,,,2015,41
ADATA SX850,SSD,119.2,3952,2545,,,,2018,8
SSD2SC24 0G5LC726B104-298,SSD,223.6,3949,2546,,,,2014,5
ADATA XPG SX900 512GB,SSD,476.9,3949,2547,,,,2015,14
OCZ Vertex 4 512GB,SSD,476.9,3949,2548,,,,2012,10
FATTYDOVE SSD 240GB,SSD,223.6,3947,2549,,,,2019,7
ADATA Premier Pro SP900 M.2 2280 256GB,SSD,238.5,3947,2550,,,,2016,7
TOSHIBA THNSNS128GCSP,SSD,119.2,3947,2551,,,,2012,26
PLEXTOR PX-512M6S,SSD,476.9,3947,2552,513.99,7.68,1.08,2015,8
SanDisk SD7SN6S512G1001,SSD,476.9,3947,2553,,,,2016,13
SK hynix SC300 M.2 2280 256GB,SSD,238.5,3946,2554,,,,2016,18
HFS250G32TND-N1A2A,SSD,232.9,3946,2555,93.9,42.02,0.4,2016,16
SanDisk SD7SN3Q256G1002,SSD,238.5,3945,2556,,,,2014,9
Samsung SSD 850,SSD,119.2,3943,2557,,,,2015,11
PNY CS1311 240GB SSD,SSD,223.6,3939,2558,107.96,36.48,0.48,2016,106
SAMSUNG SSD SM841 mSATA 256GB,SSD,238.5,3937,2559,,,,2013,10
AVEXIR E100 SERIES - 240GB,SSD,223.6,3937,2560,,,,2016,4
Vi550 S3 SSD,SSD,953.9,3936,2561,,,,2019,5
LITEON LCH-512V2S,SSD,476.9,3936,2562,,,,2015,36
WINTEC 240GB3 SF2281 SSD,SSD,238.5,3936,2563,,,,2017,8
SAMSUNG SSD SM841N 2.5 7mm 256GB,SSD,238.5,3935,2564,167.83,23.44,0.7,2014,18
TOSHIBA Q300.,SSD,447.1,3934,2565,510,7.71,1.14,2016,27
LITEON CV3-8D256,SSD,238.5,3934,2566,,,,2016,27
APS-SL3N-512,SSD,476.9,3933,2567,,,,2019,12
LITEON CV8-CE256,SSD,238.5,3932,2568,,,,2020,6
SanDisk X400 2.5 7MM 256,SSD,238.5,3932,2569,,,,2017,6
TOSHIBA THNSNH512GCST,SSD,476.9,3932,2570,,,,2014,31
Micron 1100 256GB,SSD,238.5,3932,2571,,,,2017,137
SAMSUNG MZVLV128HCGR-00000,SSD,119.2,3931,2572,63,62.39,0.53,2016,8
SAMSUNG MZ7LN256HAJQ-00000,SSD,238.5,3930,2573,,,,2018,11
INTEL SSDSC2BB300G,SSD,279.5,3929,2574,143.9,27.3,0.51,2018,11
VK0480GDJXV,SSD,447.1,3928,2575,,,,2015,10
DREVO X1 SSD,SSD,238.5,3928,2576,,,,2017,14
LITEON CV3-CE512-11 512GB,SSD,476.9,3926,2577,,,,2016,8
SK hynix SC308,SSD,476.9,3926,2578,,,,2016,8
SanDisk SD8SN8U128G1122,SSD,119.2,3925,2579,,,,2016,7
Transcend TS128GMTS430S,SSD,119.2,3924,2580,80.99,48.46,0.68,2020,11
SCY 256GB N10C,SSD,238.5,3924,2581,,,,2019,1
SanDisk SD8SN8U128G1001,SSD,119.2,3924,2582,,,,2017,11
SAMSUNG MZNTN512HDJH-00000,SSD,476.9,3923,2583,,,,2017,6
SSM28128GPTCB3B-S112611,SSD,119.2,3923,2584,,,,2018,11
VK0240GECQN,SSD,223.6,3922,2585,,,,2016,6
Plextor M3 512GB PX-512M3,SSD,476.9,3922,2586,359.99,10.89,0.75,2012,1
Micron M600 MTFDDAK256MBF,SSD,238.5,3920,2587,,,,2015,12
LITEONIT LCS-180M6S-11 2.5 7mm 180GB,SSD,167.7,3918,2588,,,,2016,7
RevuAhn_850X1_512GB,SSD,476.9,3917,2589,,,,2014,15
SanDisk X400 2.5 7MM 128GB,SSD,119.2,3917,2590,,,,2017,19
SanDisk SDSSDXP240G,SSD,223.6,3916,2591,,,,2013,19
LITEONIT LMT-256,SSD,238.5,3914,2592,,,,2013,30
Apacer AS340 960GB,SSD,894.3,3913,2593,,,,2019,7
Transcend TS512GSS D370S,SSD,476.9,3913,2594,,,,2015,12
ADATA SSD DP900 512GB-,SSD,476.9,3913,2595,,,,2015,3
Intel SSD Pro 5450s 256GB M.2,SSD,238.5,3909,2596,,,,2018,68
SSDPR-CX400-256-G2,SSD,238.5,3909,2597,,,,2020,48
PLEXTOR PX-512M6V,SSD,476.9,3908,2598,,,,2016,7
PLEXTOR PX-256M7VG,SSD,238.5,3907,2599,,,,2016,31
TRO-SSD7-512GB-PRO,SSD,476.9,3907,2600,,,,2016,4
Transcend TS512GSS D370,SSD,476.9,3907,2601,,,,2015,9
OCZ-ARC100,SSD,111.8,3906,2602,,,,2014,23
TOSHIBA THNSNJ128GDNU,SSD,119.2,3906,2603,,,,2014,10
SAMSUNG MZMPC256HAFU-000,SSD,238.5,3906,2604,,,,2013,7
Intel SSD 545s 256GB M.2,SSD,238.5,3905,2605,115.67,33.76,0.48,2017,51
BIOSTAR S120-256GB,SSD,238.5,3903,2606,,,,2019,6
HFS256G39MND-3310A,SSD,238.5,3902,2607,,,,2015,7
APS-SL3N-1T,SSD,953.9,3902,2608,,,,2019,13
VisionTek 250GB M.2,SSD,232.9,3901,2609,,,,2018,1
LITEONIT 256GB LMT-256M3M,SSD,238.5,3900,2610,,,,2012,5
TOSHIBA THNSNJ128G8NY,SSD,119.2,3900,2611,,,,2016,37
TEAM T253A3512G,SSD,476.9,3900,2612,,,,2021,10
LITEONIT LCT-512,SSD,476.9,3899,2613,,,,2013,8
Corsair Force GS,SSD,223.6,3898,2614,490.59,7.95,2.19,2012,22
Samsung SSD 850 EVO mSATA 250GB,SSD,232.9,3898,2615,79,49.34,0.34,2015,58
LITEON CV8-8E256-11 256GB,SSD,238.5,3897,2616,,,,2018,20
OCZ-VECTOR,SSD,476.9,3897,2617,311,12.53,0.65,2012,55
Verbatim-III SSD,SSD,238.5,3896,2618,,,,2014,9
SEAGATE ST240FP0,SSD,223.6,3896,2619,303.9,12.82,1.36,2014,11
SAMSUNG SSD PM871b M.2 2280 256GB,SSD,238.5,3894,2620,,,,2017,40
SAMSUNG MZ7PD128HCFV-000H7,SSD,119.2,3894,2621,,,,2015,11
PLEXTOR PX-256M8VG,SSD,238.5,3893,2622,,,,2018,9
Lexar SSD,SSD,238.5,3893,2623,,,,2019,73
Crucial CT250MX200SSD6,SSD,232.9,3893,2624,,,,2015,61
Intel SSD 520 480GB 9.5mm,SSD,447.1,3893,2625,499.99,7.79,1.12,2012,20
KINGSTON KINGSTON SV300S3,SSD,223.6,3891,2626,,,,2013,6
NOVASTAR SSD 240GB,SSD,223.6,3890,2627,,,,2019,2
MTFDDAV2 56MBF-1AN15ABHA,SSD,238.5,3889,2628,,,,2016,15
ADATA SP610,SSD,953.9,3888,2629,,,,2014,12
Kingston HyperX 3K 480GB SH103S3480G,SSD,447.1,3888,2630,453.63,8.57,1.01,2013,12
OCZ-TRIO N100,SSD,447.1,3887,2631,,,,2015,7
KINGSTON KINGSTON SV300S3,SSD,447.1,3887,2632,,,,2014,9
ADATA SX910 128GB,SSD,119.2,3886,2633,129.99,29.89,1.09,2012,5
SSD2SC24 0G5LC709B121-511,SSD,223.6,3885,2634,,,,2014,17
SanDisk SDSSDHII120G,SSD,111.8,3885,2635,,,,2014,88
KINGSTON SUV500240G,SSD,223.6,3883,2636,,,,2018,106
Mushkin Triactor 250GB MKNSSDTR250GB,SSD,232.9,3883,2637,79.98,48.55,0.34,2016,7
CT1000MX 500SSD1,SSD,931.5,3882,2638,,,,2018,21
Samsung SSD 850 EVO mSAT,SSD,232.9,3881,2639,,,,2015,37
Kingspeed 256GB,SSD,238.5,3881,2640,,,,2019,2
Intel SSD Pro 5450s 256GB,SSD,238.5,3881,2641,96.64,40.16,0.41,2018,18
SanDisk SD7SB6S-128G-100,SSD,119.2,3879,2642,,,,2016,5
SK hynix SH920 2.55,SSD,476.9,3879,2643,,,,2015,18
Samsung SSD 860 EVO mSAT,SSD,232.9,3877,2644,,,,2018,13
GALAX TA1C0240A,SSD,223.6,3877,2645,,,,2016,9
HFS256G32TNH-73A0A,SSD,238.5,3876,2646,,,,2019,15
TOSHIBA THNSNH128GBST,SSD,119.2,3876,2647,55.54,69.78,0.47,2013,12
TEAM T253X5240G,SSD,223.6,3876,2648,,,,2021,5
Corsair Neutron XT SSD,SSD,894.3,3875,2649,,,,2015,15
Patriot Ignite M2,SSD,447.1,3875,2650,,,,2015,13
WDC PC SA530 M.2 2280 512GB,SSD,476.9,3875,2651,,,,2018,1
T-FORCE 512GB,SSD,476.9,3875,2652,68.59,56.49,0.14,2020,41
Intel SSD Pro 1500 180GB M.2,SSD,167.7,3874,2653,,,,2014,9
SPCC Solid State Diss,SSD,223.6,3874,2654,,,,2015,14
SAMSUNG MZNLN256HAJQ-00000,SSD,238.5,3873,2655,,,,2018,42
OCZ-VECT OR150,SSD,111.8,3873,2656,,,,2014,49
SanDisk X400 M.2 2280 128GB,SSD,119.2,3872,2657,25.91,149.46,0.22,2016,65
AVSSDE100ZZ-240GB,SSD,223.6,3872,2658,,,,2017,2
SAMSUNG SSD SM841N 2.5,SSD,238.5,3872,2659,,,,2014,13
TOSHIBA THNSNJ256GCSY,SSD,238.5,3872,2660,,,,2016,16
APPLE SSD SM256E,SSD,233.8,3871,2661,,,,2012,8
SAMSUNG MZ7PD256HAFV-000H7,SSD,238.5,3871,2662,49,78.99,0.21,2013,47
OCPC SSD 480GB,SSD,447.1,3869,2663,,,,2018,1
Extrememory XLR8_EX120BB,SSD,111.8,3869,2664,,,,2013,6
INTEL SSDSCKKR120H6,SSD,111.8,3868,2665,,,,2018,6
ADATA SSD DP900 256GB-DL3,SSD,238.5,3868,2666,,,,2016,7
Samsung SSD 750,SSD,232.9,3866,2667,74.95,51.58,0.32,2016,13
Micron 1100,SSD,238.5,3866,2668,143.99,26.85,0.6,2017,10
MTFDDAK1T0MBF-1AN1ZABHA,SSD,953.9,3866,2669,,,,2017,5
"256GB PCS 2.5"" SSD",SSD,238.5,3866,2670,,,,2020,7
Apacer AS340 220GB,SSD,205,3866,2671,,,,2018,6
LITEON IT LCT-512L9S,SSD,476.9,3865,2672,,,,2015,6
Crucial CT500MX200SSD3,SSD,465.8,3865,2673,396.19,9.76,0.85,2015,65
"SSD 2.5"" TLC 256GB InnovationIT",SSD,238.5,3864,2674,,,,2021,14
IRIDIUM PRO,SSD,111.8,3864,2675,,,,2018,5
OCZ-ARC100,SSD,223.6,3864,2676,,,,2014,60
INTENS SSD 128GB,SSD,119.2,3863,2677,,,,2016,1
BR 240G,SSD,223.6,3862,2678,,,,2019,5
