driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,samples
NVMe KXG70ZNV512G NVMe KIOXIA 512GB,SSD,476.9,34179,79,,,,2021,10
Corsair MP600 PRO,SSD,1800,33970,80,299.99,113.24,0.17,2021,51
NVMe KXG70PN84T09 NVMe KIOXIA 4096GB,SSD,3700,33927,81,,,,2021,8
NVMe KXG70PNV2T04 NVMe KIOXIA 2048GB,SSD,1900,33753,82,,,,2021,41
PNY CS3040 1TB SSD,SSD,931.5,33534,83,175.99,190.54,0.19,2021,51
Samsung SSD PM9A1 NVMe 1TB,SSD,953.9,33492,84,,,,2021,742
Seagate FireCuda 530 ZP500GM30013,SSD,465.8,33261,85,,,,2021,8
GIGABYTE GP-AG41TB,SSD,931.5,33089,86,,,,2020,258
Sabrent Rocket 4.0 Plus,SSD,1800,32941,87,,,,2020,81
KXG70PNV2T04 NVMe KIOXIA 2048GB,SSD,1900,32791,88,,,,2021,27
NVMe MTFDKBA512TFH-1BC1AABHA,SSD,476.9,32662,89,,,,2022,8
HPT DISK 0 0,SSD,3600,32591,90,,,,2020,11
GIGABYTE GP-AG42TB,SSD,1800,32566,91,,,,2020,56
Sabrent Rocket 4.0 Plus,SSD,931.5,32402,92,,,,2020,162
NVMe Force MP600,SSD,1800,32368,93,,,,2020,10
Corsair MP600 CORE,SSD,3600,32006,94,,,,2021,8
CFD NVMe Gen 4 M.2 1TB CSSD-M2B1TPG3VNF,SSD,931.5,31967,95,,,,2019,64
Seagate FireCuda 520 SSD ZP2000GM30002,SSD,1800,31928,96,,,,2019,214
Samsung SSD 980 PRO 500GB,SSD,465.8,31863,97,119.99,265.55,0.26,2020,1956
NVMe CT1000P5PSSD8,SSD,931.5,31839,98,,,,2021,8
NVMe CA6-8D2048-Q11 NVMe SSSTC 2048GB,SSD,1900,31663,99,,,,2021,8
XPG GAMMIX S70,SSD,1900,31451,100,266,118.24,0.14,2021,23
NVMe Force MP600,SSD,931.5,31284,101,,,,2019,18
Micron MTFDKBA512TFH,SSD,476.9,31266,102,,,,2022,7
Micron MTFDKBA1T0TFH,SSD,953.9,31177,103,,,,2022,10
Sabrent Rocket 4.0 2TB,SSD,1800,31127,104,,,,2019,308
Seagate FireCuda 520 SSD ZP1000GM30002,SSD,931.5,30969,105,,,,2019,456
XPG GAMMIX S70,SSD,953.9,30909,106,,,,2021,51
WD BLACK SN770 500GB,SSD,465.8,30850,107,,,,2022,28
Viper M.2 VP4100,SSD,931.5,30771,108,139.99,219.81,0.15,2019,67
Gigabyte AORUS NVMe Gen4 M.2 2TB,SSD,1800,30681,109,282.22,108.71,0.16,2019,162
Corsair Force MP600 2TB,SSD,1800,30557,110,264.99,115.31,0.15,2019,307
NVMe Seagate FireCuda,SSD,931.5,30553,111,,,,2020,11
NVMe PNY CS3140 1TB SSD,SSD,931.5,30514,112,,,,2021,5
KXG7AZNV512G LA KIOXIA,SSD,476.9,30317,113,,,,2021,19
NVMe WD PC SN810 SDCQNRY-512G-1014,SSD,476.9,30291,114,,,,2022,7
Samsung SSD PM9A1 NVMe 512GB,SSD,476.9,30227,115,,,,2021,484
XPG GAMMIX S50,SSD,1800,30168,116,283.45,106.43,0.16,2019,12
Gigabyte AORUS NVMe Gen4 M.2 1TB,SSD,931.5,30108,117,129.99,231.62,0.14,2019,575
Corsair Force MP600 1TB,SSD,931.5,30086,118,124.99,240.71,0.13,2019,1373
addlink M.2 PCIE G4x4 NVMe,SSD,931.5,30040,119,,,,2020,12
Samsung SSD 980 NVMe 2TB,SSD,1800,29860,120,,,,2021,16
NVMe Sabrent Rocket 4,SSD,931.5,29814,121,,,,2020,21
Sabrent ROCKET 4.0 1TB,SSD,931.5,29773,122,,,,2019,1629
NVMe CT500P5PSSD8,SSD,465.8,29638,123,,,,2021,5
NVMe PM9A1 NVMe SED Samsung 512GB,SSD,476.9,29616,124,,,,2021,10
Force MP510,SSD,3600,29596,125,,,,2021,5
Corsair MP600 CORE,SSD,1800,29560,126,229.99,128.53,0.13,2021,31
Micron 2450 MTFDKBA1T0TFK,SSD,953.9,29439,127,,,,2022,37
SKHynix HFS001TDE9X084N,SSD,953.9,29114,128,,,,2021,233
SHGP31-1000GM,SSD,931.5,28938,129,,,,2021,31
NVMe SHGP31-500GM-2,SSD,465.8,28884,130,,,,2020,24
ESR01TBTLG-E6GBTNB4,SSD,953.9,28790,131,,,,2021,63
NVMe Micron 3400 NVMe 2048GB,SSD,1900,28626,132,,,,2021,14
DIGISTOR 1TB,SSD,953.9,28260,133,,,,2021,1
SAMSUNG MZVL2256HCHQ-00BL7,SSD,238.5,28189,134,,,,2021,11
E12S-2TB-PHISON-SSD-BICS4,SSD,1900,28120,135,,,,2021,6
WDC PC SN540 SDDPNPF-1T00,SSD,953.9,27957,136,,,,2022,9
CSSD-M2M1TPG4VNZ,SSD,931.5,27912,137,,,,2020,13
SAMSUNG MZ1L23T8HBLA-00A07,SSD,3500,27901,138,,,,2021,5
Samsung SSD 980 NVMe 500GB,SSD,465.8,27894,139,,,,2020,54
WD Blue SN570 1TB SSD,SSD,931.5,27863,140,,,,2022,5
RevuAhn NX2200A 1TB,SSD,953.9,27800,141,,,,2020,1
Metabox Performance 2TB PCIe NVME SSD,SSD,1800,27791,142,,,,2021,4
XPG GAMMIX S70 BLADE,SSD,476.9,27735,143,,,,2022,13
Viper M.2 VP4100,SSD,1800,27618,144,,,,2020,10
